,source,author,title,description,url,urlToImage,publishedAt,content
count,30,19,30,30,30,29,30,30
unique,9,13,30,29,30,29,,30
top,"{'id': None, 'name': 'Donanimhaber.com'}",Patronlar Dünyası,Sanofi PharmUp Girişimcilik Programı’nın 6. Dönemi için Başvurular Başladı! [Sponsorlu İçerik],Oyuncular için üretilen bilgisayar aksesuarlarında en üst düzey kalite standartları kullanılırken iş ve genel amaçlı kullanım söz konusu olunca kaliteden ödün verilir ama Monster şimdi yeni Pusat Business Serisi Kablosuz Mouse’ları ile bu algıyı kırmaya geliy…,https://webrazzi.com/2025/02/17/sanofi-pharmup-girisimcilik-programi-nin-6-donemi-icin-basvurular-basladi/,https://cdn.webrazzi.com/uploads/2025/02/pharmup-537.jpg,,"Sanofinin salk sektöründe katma deer yaratacak yenilikçi fikirlerin geliimine destek olmak için Endeavor ile birlikte hayata geçirdii Giriimcilik Program PharmUpn 6. dönem bavurular balad.
Türkiyeni… [+1209 chars]"
freq,9,4,1,2,1,1,,1
mean,,,,,,,2025-02-14 03:22:19.133333248+00:00,
min,,,,,,,2025-02-11 06:20:00+00:00,
25%,,,,,,,2025-02-13 07:31:50.500000+00:00,
50%,,,,,,,2025-02-14 09:02:20+00:00,
75%,,,,,,,2025-02-14 17:54:29.249999872+00:00,
max,,,,,,,2025-02-17 07:30:00+00:00,
